,id,date,rawContent,cleaned_content
85,17586,2022-06-25 23:19:46+00:00,@Kayjnr10 @YawBuabengPR,
86,17587,2022-06-25 23:19:43+00:00,@mi_amor_gh 😂😂😂😂😂 sia,sia
87,17588,2022-06-25 23:19:04+00:00,"Please let us finish the National Cathedral, then we can pray to God to them a new building. https://t.co/SHd1XUAnaU",please let us finish the national cathedral then we can pray to god to them a new building
88,17589,2022-06-25 23:19:02+00:00,"@koboateng Bugs in today
Rewrite",bugs in today rewrite
89,17590,2022-06-25 23:18:49+00:00,@zohayerrr https://t.co/LnirmkgPeo,
90,17591,2022-06-25 23:17:14+00:00,@SkylerFleur @YawBuabengPR,
91,17592,2022-06-25 23:16:02+00:00,@Antwi_Boasiako_ @___theSeraph Ajeeeei😂😂😂,ajeeeei
92,17593,2022-06-25 23:15:57+00:00,🤞👍🤝 https://t.co/Orsotyem1g,
93,17594,2022-06-25 23:15:56+00:00,@___theSeraph @quame_age 😌hopefully 🙏,hopefully
94,17595,2022-06-25 23:15:35+00:00,@saaheneasiamah Jul) kwakwe😂😂😂,jul kwakwe
95,17596,2022-06-25 23:15:19+00:00,@IamVerlardean https://t.co/vZagLFfN0F,
96,17597,2022-06-25 23:14:46+00:00,@big_joe213 We beg,we beg
97,17598,2022-06-25 23:14:26+00:00,@Antwi_Boasiako_ @___theSeraph I no fit answer this question 😂😂😂,i no fit answer this question
98,17599,2022-06-25 23:13:56+00:00,@Mr_Abu233 Appiah??,appiah
99,17600,2022-06-25 23:13:53+00:00,@kobbykatalyst1 Sure hun,sure hun
0,17601,2022-06-26 23:59:08+00:00,@Esc0marr https://t.co/WpofcSXWbE,
1,17602,2022-06-26 23:58:36+00:00,@Esc0marr Sme  youtube channel bro,sme youtube channel bro
2,17603,2022-06-26 23:58:20+00:00,@afia_kante 😷😷😷😷😷,
3,17604,2022-06-26 23:57:57+00:00,"No ex of mine should expect a “letter”, y’all gon’ get diss songs! Tw3n! 😂💔",no ex of mine should expect a letter yall gon get diss songs tw3n
4,17605,2022-06-26 23:56:41+00:00,@lildurk 🚀,
5,17606,2022-06-26 23:56:03+00:00,"Well, he said that perhaps based on his situation … what’s urs? Same? https://t.co/pibBWuDPRq",well he said that perhaps based on his situation whats urs same
